"id";"Time intervals";"Total time"
157;"36554-37285  37468-41413  41552-41727  41842-42975  48867-49809  49891-50319  51316-51740  52373-52387  52739-52988  62756-63686  67037-67145  67406-67529  67853-67924  ";9273
158;"";0
159;"";0
160;"85067-86197  86368-86399  ";1161
161;"35946-37168  38978-39147  39714-40000  40053-42000  42839-43063  43400-43832  46633-46727  47123-47402  51325-52112  52178-52764  53377-53594  54261-54628  ";6610
162;"64490-65503  65756-65938  66167-68746  68768-69621  69828-70966  72294-72456  73583-75390  75405-75424  77443-78265  78688-78831  79028-79143  80560-80742  80923-80923  81248-81802  82160-82222  82302-83302  85377-86399  ";11653
163;"38147-38525  38804-39073  39252-39339  ";734
164;"";0
165;"67223-67447  67465-67505  67772-68191  68886-70381  ";2178
166;"69538-69742  70021-70070  70766-71541  71759-71795  72001-72306  72352-72602  74342-74345  74453-74834  74900-75082  75090-75523  75682-77038  78366-79526  85913-86043  ";5264
167;"6835-9360  11705-13358  ";4178
168;"";0
169;"";0
170;"79361-80334  80798-80904  81547-81756  ";1288
171;"";0
172;"39532-40744  41420-41630  73487-74210  75570-75811  76029-76236  76280-76297  77849-77924  ";2685
173;"";0
174;"33773-34661  34705-35559  36687-39876  42394-44666  49480-50841  64236-65042  ";9370
175;"43802-43831  ";29
