"id";"time to origin station";"cycling time";"time to destination place";"exit reason";"Successful bike reservations";"Failed bike reservations";"Successful slot reservations";"Failed slot reservations";"Successful bike rentals";"Failed bike rentals";"Successful bike returns";"Failed bike returns"
172;291;353;524;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
173;647;162;684;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
174;679;0;503;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
175;582;1213;569;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
176;655;674;726;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
177;558;384;655;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
178;436;497;581;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
179;395;190;702;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
180;648;544;522;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
182;666;933;535;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
183;99;389;126;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
181;587;292;522;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
184;668;301;558;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
185;621;645;316;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
186;620;498;121;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
188;487;470;458;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
187;624;1130;47;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
189;344;264;380;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
190;380;323;527;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
191;384;201;604;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
192;446;242;879;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
193;571;322;325;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
194;703;210;579;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
195;585;234;591;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
196;544;455;605;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
198;562;262;627;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
197;598;680;643;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
199;134;858;613;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
200;673;520;136;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
201;471;119;592;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
202;570;0;493;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
203;400;356;602;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
204;631;585;528;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
205;560;392;669;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
207;449;630;228;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
206;267;380;548;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
209;434;1531;723;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
208;732;379;677;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
210;691;0;698;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
211;151;171;608;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
212;737;628;654;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
213;309;0;488;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
214;513;904;566;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
215;623;458;653;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
216;625;1172;170;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
217;696;295;64;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
218;645;190;620;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
219;593;238;423;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
220;231;560;537;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
221;499;322;458;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
222;454;482;723;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
223;570;385;490;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
224;428;1251;501;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
225;432;299;592;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
226;396;455;656;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
227;439;124;693;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
228;423;610;694;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
229;640;252;369;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
230;225;413;485;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
231;261;210;309;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
232;188;394;638;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
233;681;310;700;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
234;726;225;568;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
235;505;604;467;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
236;612;82;217;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
237;648;0;536;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
238;333;709;581;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
239;682;134;701;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
240;567;91;993;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
241;506;265;640;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
242;677;275;601;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
243;430;247;220;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
244;193;1277;588;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
245;439;541;532;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
246;383;594;477;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
247;690;237;562;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
248;723;736;706;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
249;624;2757;761;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
250;499;458;216;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
251;122;0;405;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
252;641;485;419;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
253;489;354;551;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
254;610;227;604;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
255;388;693;17;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
256;538;270;549;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
257;746;509;686;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
258;316;311;118;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
259;449;467;739;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
260;174;472;482;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
261;153;310;520;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
262;528;799;459;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
263;215;205;724;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
264;695;377;900;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
265;463;277;687;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
266;140;210;526;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
267;648;397;696;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
268;370;1930;533;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
269;353;1149;614;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
270;429;185;498;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
271;628;733;671;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
272;294;489;482;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
273;416;1165;891;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
274;568;1956;302;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
275;570;1813;292;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
276;281;490;690;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
277;636;368;534;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
278;224;409;549;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
279;649;44;284;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
280;484;495;675;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
281;480;508;389;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
282;124;886;577;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
283;418;310;75;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
284;1025;183;607;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;1;1;0
285;327;453;456;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
286;690;201;423;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
287;645;183;625;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
288;689;457;491;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
289;326;3;519;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
290;409;915;697;"EXIT_AFTER_REACHING_DESTINATION";0;0;0;0;1;0;1;0
