simulation time (min);1440.0;only events that occure within the simulation time are considered (events after that time are ignored)
manager id;event;time;result;involved station
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;167
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;95
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;167
1;EventManagerTakeBikesFromStation;9000;SUCCESS;167
1;EventManagerTakeBikesFromStation;9000;SUCCESS;109
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;109
1;EventManagerTakeBikesFromStation;9000;SUCCESS;162
1;EventManagerTakeBikesFromStation;9000;SUCCESS;109
1;EventManagerTakeBikesFromStation;9000;SUCCESS;109
1;EventManagerTakeBikesFromStation;9000;SUCCESS;109
1;EventManagerTakeBikesFromStation;9000;SUCCESS;109
1;EventManagerTakeBikesFromStation;9000;SUCCESS;109
1;EventManagerAddBikesToStation;9171;SUCCESS;43
1;EventManagerAddBikesToStation;9238;SUCCESS;43
1;EventManagerAddBikesToStation;9391;SUCCESS;43
1;EventManagerAddBikesToStation;9454;SUCCESS;43
1;EventManagerAddBikesToStation;9522;SUCCESS;43
1;EventManagerAddBikesToStation;9620;SUCCESS;74
1;EventManagerAddBikesToStation;9662;SUCCESS;74
1;EventManagerAddBikesToStation;9702;SUCCESS;74
1;EventManagerAddBikesToStation;9750;SUCCESS;74
1;EventManagerAddBikesToStation;9789;SUCCESS;74
1;EventManagerAddBikesToStation;9836;SUCCESS;74
1;EventManagerAddBikesToStation;9854;SUCCESS;75
1;EventManagerAddBikesToStation;9939;SUCCESS;163
1;EventManagerAddBikesToStation;9941;SUCCESS;75
1;EventManagerAddBikesToStation;9990;SUCCESS;163
1;EventManagerAddBikesToStation;10059;SUCCESS;78
1;EventManagerAddBikesToStation;10063;SUCCESS;75
1;EventManagerAddBikesToStation;10211;SUCCESS;75
1;EventManagerAddBikesToStation;10325;SUCCESS;75
1;EventManagerAddBikesToStation;10334;SUCCESS;75
1;EventManagerAddBikesToStation;10359;SUCCESS;75
1;EventManagerAddBikesToStation;10520;SUCCESS;75
1;EventManagerAddBikesToStation;10544;SUCCESS;75
1;EventManagerAddBikesToStation;10556;SUCCESS;168
1;EventManagerAddBikesToStation;10587;SUCCESS;75
1;EventManagerAddBikesToStation;10606;SUCCESS;168
1;EventManagerAddBikesToStation;10637;SUCCESS;136
1;EventManagerAddBikesToStation;10657;SUCCESS;136
1;EventManagerAddBikesToStation;10700;SUCCESS;136
1;EventManagerAddBikesToStation;10759;SUCCESS;136
1;EventManagerAddBikesToStation;10812;SUCCESS;75
