simulation time (min);1440.0;only events that occure within the simulation time are considered (changes after that time are ignored)
id;emptytime (min);average deviation from halfcapacity;Successful bike reservations;Failed bike reservations;Successful slot reservations;Failed slot reservations;Successful bike rentals;Failed bike rentals;Successful bike returns;Failed bike returns
76;0.0;5.5834375;0;0;0;0;63;0;63;0
77;0.0;5.584386574074074;0;0;0;0;60;0;72;2
78;0.0;3.6058101851851854;0;0;0;0;76;0;57;0
79;0.0;5.144409722222222;0;0;0;0;94;0;98;5
80;0.0;5.5697222222222225;0;0;0;0;57;0;66;5
81;87.18333333333334;6.153564814814815;0;0;0;0;65;3;66;1
82;0.0;6.087280092592593;0;0;0;0;68;0;99;5
83;124.28333333333333;6.424976851851852;0;0;0;0;106;3;119;4
84;0.0;5.279120370370371;0;0;0;0;83;0;76;4
85;0.0;8.172390046296297;0;0;0;0;36;0;39;2
86;0.0;4.203368055555556;0;0;0;0;73;0;76;0
87;0.31666666666666665;4.838414351851852;0;0;0;0;51;0;59;0
88;0.0;1.8999421296296297;0;0;0;0;19;0;16;0
89;0.0;4.873344907407407;0;0;0;0;51;0;60;0
90;0.0;3.3805266203703703;0;0;0;0;164;0;153;0
91;40.85;3.895677083333333;0;0;0;0;91;0;72;0
92;157.73333333333332;8.071527777777778;0;0;0;0;56;2;50;0
93;0.0;3.9058564814814813;0;0;0;0;58;0;56;0
94;6.716666666666667;7.064618055555556;0;0;0;0;58;0;55;0
95;85.96666666666667;6.5747685185185185;0;0;0;0;74;5;65;0
96;0.0;4.600416666666667;0;0;0;0;73;0;81;0
97;65.66666666666667;7.01025462962963;0;0;0;0;48;0;48;0
98;31.9;7.126469907407407;0;0;0;0;40;0;32;0
99;97.08333333333333;4.958015046296296;0;0;0;0;77;6;68;0
100;30.633333333333333;5.805405092592593;0;0;0;0;48;2;45;0
101;13.316666666666666;4.650063657407407;0;0;0;0;48;0;36;0
102;0.0;3.92703125;0;0;0;0;61;0;57;0
103;0.0;2.9927083333333333;0;0;0;0;70;0;64;0
104;0.0;4.900023148148148;0;0;0;0;41;0;32;0
105;209.41666666666666;7.7110763888888885;0;0;0;0;30;1;30;0
106;0.0;3.8322800925925926;0;0;0;0;65;0;58;0
107;0.0;4.736828703703703;0;0;0;0;42;0;44;0
108;64.03333333333333;6.6409722222222225;0;0;0;0;100;1;93;3
109;91.16666666666667;4.479924768518519;0;0;0;0;39;0;44;0
110;40.31666666666667;4.829791666666667;0;0;0;0;82;2;75;0
111;226.75;4.401273148148148;0;0;0;0;33;1;20;0
112;32.71666666666667;2.801886574074074;0;0;0;0;42;0;36;0
113;27.05;5.3593518518518515;0;0;0;0;92;2;83;0
114;180.38333333333333;7.461996527777778;0;0;0;0;91;1;94;0
115;0.0;5.006956018518519;0;0;0;0;69;0;65;0
116;50.65;6.769618055555555;0;0;0;0;66;0;64;0
117;0.0;6.297581018518518;0;0;0;0;31;0;35;0
118;0.0;4.277199074074074;0;0;0;0;83;0;82;0
119;0.0;5.9406944444444445;0;0;0;0;24;0;18;0
120;0.0;3.5884953703703704;0;0;0;0;31;0;29;0
121;0.0;4.960972222222222;0;0;0;0;46;0;39;0
122;0.0;3.7941087962962965;0;0;0;0;49;0;47;0
123;0.0;5.86119212962963;0;0;0;0;61;0;54;0
124;80.93333333333334;5.5019328703703705;0;0;0;0;68;1;53;0
125;0.0;2.6929166666666666;0;0;0;0;53;0;45;0
126;0.0;5.089513888888889;0;0;0;0;67;0;61;4
127;0.0;4.405891203703704;0;0;0;0;42;0;55;5
128;0.0;5.639097222222222;0;0;0;0;106;0;110;15
129;43.78333333333333;6.0838425925925925;0;0;0;0;160;3;175;5
130;63.35;4.739780092592593;0;0;0;0;72;5;68;2
131;0.0;5.104340277777778;0;0;0;0;76;0;76;0
132;60.916666666666664;4.1407638888888885;0;0;0;0;80;3;103;0
133;115.8;5.15349537037037;0;0;0;0;93;5;104;0
134;109.7;5.256788194444445;0;0;0;0;83;10;81;0
135;0.0;4.199409722222223;0;0;0;0;130;0;171;0
136;0.0;4.740104166666667;0;0;0;0;81;0;104;2
137;0.0;3.3394328703703704;0;0;0;0;53;0;60;0
138;0.0;4.351307870370371;0;0;0;0;39;0;37;0
139;50.4;5.324479166666666;0;0;0;0;75;1;88;1
140;93.11666666666666;5.453888888888889;0;0;0;0;41;1;42;0
141;197.68333333333334;8.453078703703703;0;0;0;0;26;6;31;0
142;0.0;2.9741435185185185;0;0;0;0;65;0;61;0
143;0.0;3.9110416666666667;0;0;0;0;44;0;38;0
144;0.0;6.491689814814815;0;0;0;0;21;0;19;0
145;101.28333333333333;5.176261574074074;0;0;0;0;77;1;69;0
146;0.0;2.196550925925926;0;0;0;0;28;0;27;0
147;8.233333333333333;4.412673611111111;0;0;0;0;31;0;39;0
148;0.0;4.360034722222222;0;0;0;0;39;0;39;0
149;16.816666666666666;5.3964236111111115;0;0;0;0;147;1;154;0
150;103.51666666666667;7.205173611111111;0;0;0;0;24;0;29;0
151;25.616666666666667;4.120995370370371;0;0;0;0;31;0;32;0
152;0.0;4.6582638888888885;0;0;0;0;26;0;22;0
153;209.1;8.911273148148148;0;0;0;0;42;2;47;0
154;210.71666666666667;6.745393518518519;0;0;0;0;57;13;46;0
155;46.55;3.9883912037037037;0;0;0;0;71;2;69;0
156;0.0;4.796331018518519;0;0;0;0;65;0;59;1
157;0.0;2.523090277777778;0;0;0;0;93;0;97;0
158;36.15;8.353854166666666;0;0;0;0;47;0;44;0
159;185.15;6.9518402777777775;0;0;0;0;47;6;40;0
160;155.71666666666667;6.686631944444445;0;0;0;0;119;8;111;0
161;0.0;4.5888078703703705;0;0;0;0;124;0;123;0
162;0.0;4.0403472222222225;0;0;0;0;106;0;109;4
163;7.766666666666667;3.5394328703703706;0;0;0;0;178;1;170;0
164;24.266666666666666;3.9046064814814816;0;0;0;0;98;1;98;0
165;57.15;3.47181712962963;0;0;0;0;51;3;50;3
166;0.0;6.443414351851852;0;0;0;0;121;0;111;0
167;4.766666666666667;3.975914351851852;0;0;0;0;57;0;62;1
168;41.1;4.796053240740741;0;0;0;0;125;4;139;2
169;0.0;4.566770833333333;0;0;0;0;122;0;109;0
170;112.46666666666667;5.7215625;0;0;0;0;98;3;102;0
171;0.0;4.358159722222222;0;0;0;0;80;0;77;0
172;0.0;5.099814814814815;0;0;0;0;75;0;70;0
173;0.0;8.414918981481481;0;0;0;0;12;0;17;0
174;90.5;7.929363425925926;0;0;0;0;36;6;28;0
175;82.26666666666667;6.67650462962963;0;0;0;0;174;7;189;4
